index,word,qnt,,,,,,,,
,,0,0,1,,,,,,
23, не,282,282,1,"3,06","0,42",,,"4,12","3,06"
215, по,260,542,2,"5,88","0,84",,,"8,11","5,88"
93, на,246,788,3,"8,55","1,26",,239,"11,12","8,55"
204, пр,243,1031,4,"11,18","1,67",,9220,"13,68","11,18"
38, в ,241,1272,5,"13,80","2,09",,,"16,21","13,80"
36,ть ,236,1508,6,"16,36","2,51",,,"18,19","16,36"
164,но ,226,1734,7,"18,81","2,93",,,"20,16","18,81"
175,го ,198,1932,8,"20,95","3,35",,,"22,07","20,95"
10,енн,185,2117,9,"22,96","3,77",,,"23,81","22,96"
24,не ,183,2300,10,"24,95","4,18",,,"25,47","24,95"
31,ет ,170,2470,11,"26,79","4,60",,,"27,01","26,79"
116,ени,169,2639,12,"28,62","5,02",,,"28,40","28,62"
260,ся ,158,2797,13,"30,34","5,44",,,"29,72","30,34"
55,ой ,153,2950,14,"32,00","5,86",,,"31,02","32,00"
64, от,141,3091,15,"33,52","6,28",,,"32,31","33,52"
73, он,138,3229,16,"35,02","6,69",,,"33,57","35,02"
201,ник,137,3366,17,"36,51","7,11",,,"34,73","36,51"
174,ого,132,3498,18,"37,94","7,53",,,"35,87","37,94"
151, то,128,3626,19,"39,33","7,95",,,"36,99","39,33"
185, эт,127,3753,20,"40,70","8,37",,,"38,07","40,70"
205,про,123,3876,21,"42,04","8,79",,,"39,10","42,04"
21,на ,121,3997,22,"43,35","9,21",,,"40,08","43,35"
251,"о, ",110,4107,23,"44,54","9,62",,,"41,03","44,54"
3, со,108,4215,24,"45,72","10,04",,,"41,97","45,72"
237, ка,107,4322,25,"46,88","10,46",,,"42,90","46,88"
9,мен,100,4422,26,"47,96","10,88",,,"43,82","47,96"
35,ить,100,4522,27,"49,05","11,30",,,"44,74","49,05"
90,ску,100,4622,28,"50,13","11,72",,,"45,63","50,13"
26, ст,97,4719,29,"51,18","12,13",,,"46,51","51,18"
117,ние,94,4813,30,"52,20","12,55",,,"47,39","52,20"
118,ие ,86,4899,31,"53,13","12,97",,,"48,22","53,13"
27,ста,82,4981,32,"54,02","13,39",,,"49,03","54,02"
158, ху,82,5063,33,"54,91","13,81",,,"49,83","54,91"
153,оль,78,5141,34,"55,76","14,23",,,"50,60","55,76"
191,ова,74,5215,35,"56,56","14,64",,,"51,36","56,56"
7,рем,72,5287,36,"57,34","15,06",,,"52,10","57,34"
137,обо,70,5357,37,"58,10","15,48",,,"52,78","58,10"
139,оро,64,5421,38,"58,80","15,90",,,"53,42","58,80"
13,ая ,64,5485,39,"59,49","16,32",,,"54,01","59,49"
247,аль,63,5548,40,"60,17","16,74",,,"54,60","60,17"
211,ели,61,5609,41,"60,84","17,15",,,"55,18","60,84"
58,ной,58,5667,42,"61,46","17,57",,,"55,76","61,46"
81,ове,58,5725,43,"62,09","17,99",,,"56,33","62,09"
142,"т, ",57,5782,44,"62,71","18,41",,,"56,90","62,71"
60,"й, ",56,5838,45,"63,32","18,83",,,"57,45","63,32"
15, же,55,5893,46,"63,92","19,25",,,"58,00","63,92"
189, сл,55,5948,47,"64,51","19,67",,,"58,55","64,51"
202,ика,54,6002,48,"65,10","20,08",,,"59,10","65,10"
80,лов,51,6053,49,"65,65","20,50",,,"59,64","65,65"
146,дел,51,6104,50,"66,20","20,92",,,"60,19","66,20"
187,ти ,51,6155,51,"66,76","21,34",,,"60,72","66,76"
6,вре,50,6205,52,"67,30","21,76",,,"61,24","67,30"
165,о о,49,6254,53,"67,83","22,18",,,"61,76","67,83"
44,е п,49,6303,54,"68,36","22,59",,,"62,28","68,36"
33, жи,49,6352,55,"68,89","23,01",,,"62,79","68,89"
252,", п",49,6401,56,"69,43","23,43",,,"63,30","69,43"
8,еме,48,6449,57,"69,95","23,85",,,"63,79","69,95"
127,о и,47,6496,58,"70,46","24,27",,,"64,27","70,46"
