charter,block,line,Enegy,,[space],ÿ,ò,,,N[space],N[ÿ],N[ò],,,,,,,
0,0,1,127, ,17,2,3,200,0,"0,13","0,02","0,02",,,,,,,
0,0,2,209, ,32,4,8,300,0,"0,15","0,02","0,04",,,,,,,
0,0,3,69, ,5,1,1,400,0,"0,07","0,01","0,01",,,,,,,
0,0,4,35, ,1,0,2,500,0,"0,03","0,00","0,06",,,,,,,
0,0,5,102, ,13,1,2,600,0,"0,13","0,01","0,02",,,,,,,
0,0,6,315, ,45,4,13,700,0,"0,14","0,01","0,04",,,,,,,
0,0,7,45, ,3,1,1,800,0,"0,07","0,02","0,02",,,,,,,
0,0,8,83, ,6,1,4,900,0,"0,07","0,01","0,05",,,,,,,
0,0,9,166, ,25,3,5,1000,0,"0,15","0,02","0,03",,,,,,,
0,0,10,643, ,98,14,24,100,0,"0,15","0,02","0,04",,,,,,,
0,1,1,93, ,9,1,4,210,1,"0,10","0,01","0,04",,,,,,,
0,1,2,46, ,1,0,1,310,1,"0,02","0,00","0,02",,,,,,,
0,1,3,194, ,26,6,5,410,1,"0,13","0,03","0,03",,,,,,,
0,1,4,51, ,3,1,0,510,1,"0,06","0,02","0,00",,,,,,,
0,1,5,216, ,29,1,8,610,1,"0,13","0,00","0,04",,,,,,,
0,1,6,64, ,4,1,2,710,1,"0,06","0,02","0,03",,,,,,,
0,1,7,75, ,6,1,2,810,1,"0,08","0,01","0,03",,,,,,,
0,1,8,130, ,14,0,8,910,1,"0,11","0,00","0,06",,,,,,,
0,1,9,179, ,26,6,9,1010,1,"0,15","0,03","0,05",,,,,,,
0,1,10,102, ,10,4,5,110,1,"0,10","0,04","0,05",,,,,,,
0,2,1,317, ,49,5,16,220,2,"0,15","0,02","0,05",,,,,,,
0,2,2,92, ,5,0,1,320,2,"0,05","0,00","0,01",,,,,,,
0,2,3,37, ,2,0,0,420,2,"0,05","0,00","0,00",,,,,,,
0,2,4,84, ,9,0,1,520,2,"0,11","0,00","0,01",,,,,,,
0,2,5,262, ,40,5,11,620,2,"0,15","0,02","0,04",,,,,,,
0,2,6,143, ,19,1,4,720,2,"0,13","0,01","0,03",,,,,,,
0,2,7,77, ,4,1,1,820,2,"0,05","0,01","0,01",,,,,,,
0,2,8,247, ,32,5,7,920,2,"0,13","0,02","0,03",,,,,,,
0,2,9,139, ,15,4,3,1020,2,"0,11","0,03","0,02",,,,,,,
0,2,10,198, ,28,3,7,120,2,"0,14","0,02","0,04",,,,,,,
0,3,1,184, ,25,2,6,230,3,"0,14","0,01","0,03",,,,,,,
0,3,2,116, ,11,0,1,330,3,"0,09","0,00","0,01",,,,,,,
